created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-11 01:46:17 IST,1,28.80,60.20,87.31,,,,
2019-11-11 01:46:42 IST,2,28.80,60.20,87.31,,,,
2019-11-11 01:47:07 IST,3,28.70,60.10,86.99,,,,
2019-11-11 01:47:31 IST,4,28.70,60.10,86.99,,,,
2019-11-11 01:47:57 IST,5,28.70,60.10,86.99,,,,
2019-11-11 01:48:22 IST,6,28.70,60.10,86.99,,,,
2019-11-11 01:48:47 IST,7,28.70,60.00,86.96,,,,
2019-11-11 01:49:16 IST,8,28.80,60.20,87.31,,,,
2019-11-11 01:49:44 IST,9,28.70,60.20,87.01,,,,
2019-11-11 01:50:12 IST,10,28.80,60.40,87.36,,,,
2019-11-11 01:50:41 IST,11,28.80,60.50,87.39,,,,
2019-11-11 01:51:09 IST,12,28.80,60.50,87.39,,,,
2019-11-11 01:51:37 IST,13,28.80,60.50,87.39,,,,
2019-11-11 01:52:06 IST,14,28.80,60.40,87.36,,,,
2019-11-11 01:52:35 IST,15,28.90,60.50,87.69,,,,
2019-11-11 01:53:03 IST,16,28.90,60.60,87.72,,,,
2019-11-11 01:53:32 IST,17,28.90,60.70,87.75,,,,
2019-11-11 01:53:59 IST,18,28.90,60.80,87.77,,,,
2019-11-11 01:54:27 IST,19,28.90,60.90,87.80,,,,
2019-11-11 01:54:56 IST,20,28.90,61.00,87.83,,,,
2019-11-11 02:07:39 IST,21,28.90,61.10,87.86,,,,
2019-11-11 02:08:06 IST,22,28.90,61.10,87.86,,,,
2019-11-11 02:09:42 IST,23,29.10,61.40,88.57,,,,
2019-11-11 02:10:13 IST,24,29.00,61.40,88.25,,,,
2019-11-11 02:10:45 IST,25,29.00,61.60,88.31,,,,
2019-11-11 02:11:19 IST,26,29.00,61.60,88.31,,,,
2019-11-11 02:11:50 IST,27,29.00,61.60,88.31,,,,
2019-11-11 02:12:16 IST,28,29.00,61.50,88.28,,,,
