created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-17 21:26:15 IST,1,34.39,0.02,11.87,,,,
2019-11-17 21:26:34 IST,2,36.10,0.02,11.79,,,,
2019-11-17 21:26:54 IST,3,35.91,0.02,11.49,,,,
2019-11-17 21:37:51 IST,4,8.05,0.02,6.52,,,,
2019-11-17 21:38:53 IST,5,0.00,0.00,0.00,,,,
2019-11-17 21:39:12 IST,6,0.00,0.00,0.00,,,,
2019-11-17 21:39:31 IST,7,0.00,0.00,0.00,,,,
2019-11-17 21:39:50 IST,8,0.00,0.00,0.00,,,,
2019-11-17 21:40:10 IST,9,0.00,0.00,0.00,,,,
2019-11-17 21:40:30 IST,10,0.00,0.00,0.00,,,,
2019-11-17 21:40:49 IST,11,0.00,0.00,0.00,,,,
2019-11-17 21:41:09 IST,12,0.00,0.00,0.00,,,,
2019-11-17 21:41:29 IST,13,0.00,0.00,0.00,,,,
2019-11-17 21:41:49 IST,14,0.00,0.00,0.00,,,,
2019-11-17 21:42:12 IST,15,0.00,0.00,0.00,,,,
2019-11-17 21:42:35 IST,16,0.00,0.00,0.00,,,,
2019-11-17 21:43:02 IST,17,0.00,0.00,0.00,,,,
2019-11-17 21:43:25 IST,18,0.00,0.00,0.00,,,,
2019-11-17 21:43:45 IST,19,0.00,0.00,0.00,,,,
2019-11-17 21:44:05 IST,20,0.00,0.00,0.00,,,,
2019-11-17 21:44:24 IST,21,0.00,0.00,0.00,,,,
2019-11-17 21:44:44 IST,22,0.00,0.00,0.00,,,,
2019-11-17 21:45:04 IST,23,0.00,0.00,0.00,,,,
2019-11-17 21:58:30 IST,24,0.00,0.00,0.00,,,,
2019-11-17 21:58:48 IST,25,0.00,0.00,0.00,,,,
2019-11-17 21:59:06 IST,26,0.00,0.00,0.00,,,,
2019-11-17 21:59:25 IST,27,0.00,0.00,0.00,,,,
2019-11-17 21:59:46 IST,28,0.00,0.00,0.00,,,,
2019-11-17 22:00:05 IST,29,0.00,0.00,0.00,,,,
2019-11-17 22:00:23 IST,30,0.00,0.00,0.00,,,,
2019-11-17 22:00:41 IST,31,0.00,0.00,0.00,,,,
2019-11-17 22:01:00 IST,32,0.00,0.00,0.00,,,,
2019-11-17 22:01:18 IST,33,0.00,0.00,0.00,,,,
2019-11-17 22:01:37 IST,34,0.00,0.00,0.00,,,,
